Year,District,Area_Hectares,Yield_Kg_Ha,Crop,Avg_Temperature_C,max_temp_C,min_temp_C,Avg_Humidity_Pct,Avg_Rainfall_mm,total_solar_radiation_kWh/m2,total_PAR_MJ/m2,Avg_Wind_Speed_ms,avg_pH_value,fertilizer_in_MT,Production_MT,Planting_Month,Province
2010,Bhojpur,2510.0,1657.0,Wheat,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,4159.07,November,Koshi
2010,Bhojpur,30.0,1333.0,Barley,5.662410959,11.09339726,1.640931507,71.61832877,1213.87,5773.57,2540.43,1.581178082,5.4,15732.0,39.99,November,Koshi
2010,Chitwan,32770.0,3386.0,Rice,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,110959.22,July,Bagmati
2010,Chitwan,20660.0,2539.0,Maize,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,52455.74,April,Bagmati
2010,Chitwan,1810.0,1032.0,Millet,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,1867.92,August,Bagmati
2010,Chitwan,700.0,1107.0,Buckwheat,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,774.9,September,Bagmati
2010,Chitwan,8728.0,3040.0,Wheat,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,26533.12,November,Bagmati
2010,Chitwan,61.0,1000.0,Barley,25.18041096,31.25084932,20.21728767,53.93690411,1182.25,6402.98,2974.38,1.488986301,6.1,615.0,61.0,November,Bagmati
2010,Dadeldhura,6221.0,2280.0,Rice,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,14183.88,July,Sudurpashchim
2010,Dadeldhura,3744.0,1707.0,Maize,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,6391.008,April,Sudurpashchim
2010,Dadeldhura,302.0,1291.0,Millet,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,389.882,August,Sudurpashchim
2010,Dadeldhura,0.0,0.0,Buckwheat,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,0.0,September,Sudurpashchim
2010,Dadeldhura,7500.0,1600.0,Wheat,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,12000.0,November,Sudurpashchim
2010,Dadeldhura,218.0,1032.0,Barley,16.60326027,22.62317808,11.56394521,54.036,1219.07,6708.83,2953.94,1.476657534,5.9,10437.0,224.976,November,Sudurpashchim
2010,Dailekh,8507.0,3130.0,Rice,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,26626.91,July,Karnali
2010,Dailekh,20150.0,1940.0,Maize,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,39091.0,April,Karnali
2010,Dailekh,2422.0,1085.0,Millet,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,2627.87,August,Karnali
2010,Dailekh,0.0,0.0,Buckwheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,0.0,September,Karnali
2010,Dailekh,7300.0,1352.0,Wheat,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,9869.6,November,Karnali
2010,Dailekh,195.0,1462.0,Barley,13.05808219,18.9710137,8.114109589,61.27663014,1245.93,6092.79,2704.96,1.555643836,5.9,18.0,285.09,November,Karnali
2010,Dang,38500.0,3012.0,Rice,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,115962.0,July,Lumbini
2010,Dang,25200.0,2185.0,Maize,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,55062.0,April,Lumbini
2010,Dang,150.0,1000.0,Millet,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,150.0,August,Lumbini
2010,Dang,0.0,0.0,Buckwheat,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,0.0,September,Lumbini
2010,Dang,12750.0,2275.0,Wheat,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,29006.25,November,Lumbini
2010,Dang,30.0,833.0,Barley,22.61468493,28.44019178,17.948,54.894,1278.14,6452.09,2802.61,1.861013699,5.8,24.0,24.99,November,Lumbini
2010,Darchula,4290.0,2500.0,Rice,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,10725.0,July,Sudurpashchim
2010,Darchula,5520.0,2276.0,Maize,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,12563.52,April,Sudurpashchim
2010,Darchula,1300.0,1000.0,Millet,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,1300.0,August,Sudurpashchim
2010,Darchula,100.0,750.0,Buckwheat,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,75.0,September,Sudurpashchim
2010,Darchula,5265.0,1140.0,Wheat,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,6002.1,November,Sudurpashchim
2010,Darchula,1200.0,917.0,Barley,6.551890411,12.70087671,1.238821918,59.17432877,761.71,6708.83,2953.94,1.779369863,6.0,11824.0,1100.4,November,Sudurpashchim
2010,Dhading,16670.0,2452.0,Rice,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,40874.84,July,Bagmati
2010,Dhading,17468.0,2500.0,Maize,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,43670.0,April,Bagmati
2010,Dhading,7140.0,1003.0,Millet,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,7161.42,August,Bagmati
2010,Dhading,0.0,0.0,Buckwheat,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,0.0,September,Bagmati
2010,Dhading,4680.0,1691.0,Wheat,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,7913.88,November,Bagmati
2010,Dhading,350.0,1000.0,Barley,15.64268493,21.13356164,11.25421918,58.718,962.18,6402.98,2974.38,1.60939726,5.5,16.0,350.0,November,Bagmati
2010,Dhankuta,9412.0,2333.0,Rice,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,21958.196,July,Koshi
2010,Dhankuta,17779.0,2235.0,Maize,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,39736.065,April,Koshi
2010,Dhankuta,8000.0,1010.0,Millet,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,8080.0,August,Koshi
2010,Dhankuta,25.0,500.0,Buckwheat,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,12.5,September,Koshi
2010,Dhankuta,1498.0,2200.0,Wheat,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,3295.6,November,Koshi
2010,Dhankuta,10.0,1000.0,Barley,20.19216438,25.39715068,16.15945205,63.81884932,1557.64,5870.95,2655.1,1.468410959,5.8,6572.0,10.0,November,Koshi
2010,Dhanusha,61972.0,2800.0,Rice,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,173521.6,July,Madhesh
2010,Dhanusha,2365.0,2100.0,Maize,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,4966.5,April,Madhesh
2010,Dhanusha,425.0,1000.0,Millet,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,425.0,August,Madhesh
2010,Dhanusha,0.0,0.0,Buckwheat,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,0.0,September,Madhesh
2010,Dhanusha,38450.0,2500.0,Wheat,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,96125.0,November,Madhesh
2010,Dhanusha,5.0,1000.0,Barley,23.13506849,28.95416438,18.67791781,55.94189041,995.41,6205.61,2798.51,1.701205479,6.6,1542.0,5.0,November,Madhesh
